Home_logo,Home_Team,Home_Record,Home_Money_line,Home_Point_spread,Home_Total_points,Away_logo,Away_Team,Away_Record,Away_Money_line,Away_Point_spread,Away_Total_points,League
https://s.yimg.com/iu/api/res/1.2/xfHyIXjnTJQn.G8fG4pYPw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181030/500x500/celtics_wbg.png,Boston Celtics,(57-25),-550,-9.5 (-105),U 214.5 (-110),https://s.yimg.com/iu/api/res/1.2/8xtBYKInPjlVQu.PQrvV8g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181217/500x500/76ers_wbg.png,Philadelphia 76ers,(54-28),+400,+9.5 (-115),O 214.5 (-110),NBA
https://s.yimg.com/iu/api/res/1.2/woK_MobsQYFdQREDUuRoXw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181213/500x500/nuggets_wbg.png,Denver Nuggets,(53-29),-185,-4.5 (-105),U 227.5 (-105),https://s.yimg.com/iu/api/res/1.2/QeNHgYXLzTgzaX.nwFzW8A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190318/500x500/suns_wbgs.png,Phoenix Suns,(45-37),+150,+4.5 (-115),O 227.5 (-115),NBA
https://s.yimg.com/iu/api/res/1.2/f64a5x6Ygs.CeBDD2THfhQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181226/500x500/knicks_wbg.png,New York Knicks,(47-35),-275,-6.5 (-115),U 207.5 (-110),https://s.yimg.com/iu/api/res/1.2/vY1GcNr8a76cNCayKPkxCw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181219/500x500/heat_wbgs.png,Miami Heat,(44-38),+225,+6.5 (-105),O 207.5 (-110),NBA
https://s.yimg.com/iu/api/res/1.2/BRT6TvvJLxMEOw3BS621hQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20191016/500x500/warriors_wbg.png,Golden State Warriors,(44-38),-190,-4.5 (-110),U 227.5 (-110),https://s.yimg.com/iu/api/res/1.2/uL_TjHJm2vZIiEGjmlj00A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181218/500x500/lakers_wbg.png,Los Angeles Lakers,(43-39),+155,+4.5 (-110),O 227.5 (-110),NBA
https://s.yimg.com/iu/api/res/1.2/ZrMoUy4xDVI0xs1wy31uug--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181122/nhl/500x500/devils_wbg.png,New Jersey Devils,(52-22),-115,-1.5 (+225),U 5.5 (-135),https://s.yimg.com/iu/api/res/1.2/kCgCKClkoUywfsg65ZY2VQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181122/nhl/500x500/rangers_wbg.png,New York Rangers,(47-22),-105,+1.5 (-275),O 5.5 (+115),NHL
https://s.yimg.com/iu/api/res/1.2/BR2kFJYlxpO96qa.Tubk_g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/mapleleafs_wbg.png,Toronto Maple Leafs,(50-21),-155,-1.5 (+155),U 6.5 (-105),https://s.yimg.com/iu/api/res/1.2/i0ur7VOEXh_cIGKCNB3SNg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/florida_wbg.png,Florida Panthers,(42-32),+125,+1.5 (-190),O 6.5 (-115),NHL
https://s.yimg.com/iu/api/res/1.2/EcO7be5WWKeC5dAJYfasAw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210311/500x500/dallas-stars_wbg.png,Dallas Stars,(47-21),-165,-1.5 (+155),U 5.5 (-120),https://s.yimg.com/iu/api/res/1.2/IKxFzfyMlJGlaa2aCo2ZeQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210715/500x500/seattle-kraken_wbg.png,Seattle Kraken,(46-28),+140,+1.5 (-190),O 5.5 (+100),NHL
https://s.yimg.com/iu/api/res/1.2/EHfgHymzci8quvvf7SrcAw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/vegas-golden-knights_wbg.png,Vegas Golden Knights,(51-22),-105,+1.5 (-250),U 6.5 (-110),https://s.yimg.com/iu/api/res/1.2/i7iMDYUKTFDnTSYjg9GELg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20220917/500x500/oilers1_wbg.png,Edmonton Oilers,(50-23),-115,-1.5 (+200),O 6.5 (-110),NHL
https://s.yimg.com/iu/api/res/1.2/mXREYJwxabQJZZwU.M3Q.A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190328/500x500/mets_wbgs.png,New York Mets,(15-12),+170,+1.5 (+105),U 8 (-105),https://s.yimg.com/iu/api/res/1.2/MDIZFidcQrGRDFqJTW8RuA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/braves_wbgs.png,Atlanta Braves,(18-9),-210,-1.5 (-125),O 8 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/mXREYJwxabQJZZwU.M3Q.A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190328/500x500/mets_wbgs.png,New York Mets,(15-12),+100,+1.5 (-165),U 8.5 (+100),https://s.yimg.com/iu/api/res/1.2/MDIZFidcQrGRDFqJTW8RuA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/braves_wbgs.png,Atlanta Braves,(18-9),-120,-1.5 (+140),O 8.5 (-120),MLB
