Home_logo,Home_Team,Home_Record,Home_Money_line,Home_Point_spread,Home_Total_points,Away_logo,Away_Team,Away_Record,Away_Money_line,Away_Point_spread,Away_Total_points,League
https://s.yimg.com/iu/api/res/1.2/vY1GcNr8a76cNCayKPkxCw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181219/500x500/heat_wbgs.png,Miami Heat,(40-37),MIA -115,MIA -1.5 (-105),U 224.5 (-105),https://s.yimg.com/iu/api/res/1.2/1foXU3LGSMvSONkJZqENGQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181214/500x500/mavericks_wbg.png,Dallas Mavericks,(37-40),DAL -105,DAL +1.5 (-115),O 224.5 (-115),NBA
https://s.yimg.com/iu/api/res/1.2/vOcBf4BrdvIqZnp9RSjpvw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181226/500x500/pelicans_wbg.png,New Orleans Pelicans,(39-38),NO -145,NO -3.5 (-105),U 226.5 (-110),https://s.yimg.com/iu/api/res/1.2/xSA84L7V1OySu97Q4luHCg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nba/20181218/500x500/clippers_wbg.png,LA Clippers,(41-37),LAC +120,LAC +3.5 (-115),O 226.5 (-110),NBA
https://s.yimg.com/iu/api/res/1.2/iuQzMVCaVfNPtqMSnl8NPA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/nashville-predators_wbg.png,Nashville Predators,(37-29),-150,-1.5 (+165),U 6 (-115),https://s.yimg.com/iu/api/res/1.2/GpFsH20EUdUv3YNT3V4vtA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/st-louis-blues_wbg.png,St. Louis Blues,(35-34),+125,+1.5 (-200),O 6 (-105),NHL
https://s.yimg.com/iu/api/res/1.2/lJ0ERWfsagrg18rXkuhJdA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/penguins_wbg.png,Pittsburgh Penguins,(37-28),+105,+1.5 (-225),U 6.5 (-115),https://s.yimg.com/iu/api/res/1.2/.g2XR7z1OWWxSgGR7wN1.Q--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210311/500x500/boston-bruins_wbg.png,Boston Bruins,(58-12),-125,-1.5 (+185),O 6.5 (-105),NHL
https://s.yimg.com/iu/api/res/1.2/9Pr7tHjRPnPbkYgTjc89xQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/canadiens_wbg.png,Montreal Canadiens,(30-40),+220,+1.5 (-110),U 6.5 (-115),https://s.yimg.com/iu/api/res/1.2/oGaSZ0X1nVmvbR_VENLp7g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181123/nhl/500x500/hurricanes_wbg.png,Carolina Hurricanes,(47-18),-275,-1.5 (-110),O 6.5 (-105),NHL
https://s.yimg.com/iu/api/res/1.2/zU2_as_ukl.F4Y7su7oYtg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20201006/500x500/senators_wbg.png,Ottawa Senators,(37-33),+130,+1.5 (-190),U 6.5 (+110),https://s.yimg.com/iu/api/res/1.2/BR2kFJYlxpO96qa.Tubk_g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/mapleleafs_wbg.png,Toronto Maple Leafs,(44-20),-155,-1.5 (+155),O 6.5 (-130),NHL
https://s.yimg.com/iu/api/res/1.2/E2GZ_UiAmtigLQikEyJJ3g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/philadelphia-flyers_wbg.png,Philadelphia Flyers,(29-32),-110,+1.5 (-275),U 6.5 (+105),https://s.yimg.com/iu/api/res/1.2/imCk0cEDxLY9.ttp1UYGyg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210311/500x500/buffalo-sabres_wbg.png,Buffalo Sabres,(36-31),-110,-1.5 (+210),O 6.5 (-125),NHL
https://s.yimg.com/iu/api/res/1.2/HUFa_iDuhOtvaN_PSVmSDw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/tampa-bay-lightning_wbg.png,Tampa Bay Lightning,(44-26),-160,-1.5 (+155),U 5.5 (+100),https://s.yimg.com/iu/api/res/1.2/xDdd5fehPZ3ssnmRJhDpsg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/islanders_wbg.png,New York Islanders,(39-28),+135,+1.5 (-190),O 5.5 (-120),NHL
https://s.yimg.com/iu/api/res/1.2/jqe6j_6pB3WK5O4RPMZMBg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/bluejackets_wbg.png,Columbus Blue Jackets,(23-43),+200,+1.5 (-120),U 7 (-125),https://s.yimg.com/iu/api/res/1.2/i0ur7VOEXh_cIGKCNB3SNg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/florida_wbg.png,Florida Panthers,(38-31),-250,-1.5 (+100),O 7 (+105),NHL
https://s.yimg.com/iu/api/res/1.2/3JJcMppGxfGff34vC84_HQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/blackhawks_wbg.png,Chicago Blackhawks,(24-45),+270,+1.5 (+105),U 6.5 (-120),https://s.yimg.com/iu/api/res/1.2/ZrMoUy4xDVI0xs1wy31uug--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181122/nhl/500x500/devils_wbg.png,New Jersey Devils,(47-20),-350,-1.5 (-125),O 6.5 (+100),NHL
